 >TARCYL  cylindrical target: Length= 20.0000 Diameter=  3.0000
      4500 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.50000  -0.00000  -0.00000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    693   3   0  -3 1 1 1
    694   4   0  -3 1 1 1
    695   5   0  -3 1 1 1
    696   6   0  -3 1 1 1
    697   7   0  -3 1 1 1
    698   8   0  -3 1 1 1
    699   9   0  -3 1 1 1
    700  10   0  -3 1 1 1
    701  11   0  -3 1 1 1
    702  12   0  -3 1 1 1
    703  13   0  -3 1 1 1
    704  14   0  -3 1 1 1
    705  15   0  -3 1 1 1
    706  16   0  -3 1 1 1
    707  17   0  -3 1 1 1
    708  18   0  -3 1 1 1
    709  19   0  -3 1 1 1
    710  20   0  -3 1 1 1
    711  21   0  -3 1 1 1
    712  22   0  -3 1 1 1
    713  23   0  -3 1 1 1
    714  24   0  -3 1 1 1
    715  25   0  -3 1 1 1
    716  26   0  -3 1 1 1
    717  27   0  -3 1 1 1
    718  28   0  -3 1 1 1
    719  29   0  -3 1 1 1
    720  30   0  -3 1 1 1
    721 -29   1  -3 1 1 1
    722 -28   1  -3 1 1 1
    723 -27   1  -3 1 1 1
    724 -26   1  -3 1 1 1
    725 -25   1  -3 1 1 1
    726 -24   1  -3 1 1 1
    727 -23   1  -3 1 1 1
    728 -22   1  -3 1 1 1
    729 -21   1  -3 1 1 1
    730 -20   1  -3 1 1 1
    731 -19   1  -3 1 1 1
    732 -18   1  -3 1 1 1
    733 -17   1  -3 1 1 1
    734 -16   1  -3 1 1 1
    735 -15   1  -3 1 1 1
    736 -14   1  -3 1 1 1
    737 -13   1  -3 1 1 1
    738 -12   1  -3 1 1 1
    739 -11   1  -3 1 1 1
    740 -10   1  -3 1 1 1
    741  -9   1  -3 1 1 1
    742  -8   1  -3 1 1 1
    743  -7   1  -3 1 1 1
    744  -6   1  -3 1 1 1
    745  -5   1  -3 1 1 1
    746  -4   1  -3 1 1 1
    747  -3   1  -3 1 1 1
    748  -2   1  -3 1 1 1
    749  -1   1  -3 1 1 1
    750   0   1  -3 1 1 1
    751   1   1  -3 1 1 1
    752   2   1  -3 1 1 1
    753   3   1  -3 1 1 1
    754   4   1  -3 1 1 1
    755   5   1  -3 1 1 1
    756   6   1  -3 1 1 1
    757   7   1  -3 1 1 1
    758   8   1  -3 1 1 1
    759   9   1  -3 1 1 1
    760  10   1  -3 1 1 1
    761  11   1  -3 1 1 1
    762  12   1  -3 1 1 1
    763  13   1  -3 1 1 1
    764  14   1  -3 1 1 1
    765  15   1  -3 1 1 1
    766  16   1  -3 1 1 1
    767  17   1  -3 1 1 1
    768  18   1  -3 1 1 1
